"Pool","Wallet","Date","StartTime","balance","unsold","total_unpaid","total_paid","total_earned","currency","GrowthSinceStart","Growth1","Growth6","Growth24","AvgHourlyGrowth","BTCD","EstimatedEndDayGrowth","EstimatedPayDate","TrustLevel","PaymentThreshold","TotalHours"
"nicehash","1QGADhdMRpp9Pk5u5zG1TrHKRrdK5R81TE","13/06/2019 7:28:49 PM","13/06/2019 7:27:49 PM","0.00094876",,,,"0.00094876",,"0","0","0","0","0","0","0","Unknown","0.00277777777777778","0.001","0.0166666666666667"
"zergpool","1QGADhdMRpp9Pk5u5zG1TrHKRrdK5R81TE","13/06/2019 7:28:50 PM","13/06/2019 7:27:50 PM","0.00010356","0.0006415837119234178",,,"0.11525481","BTC","0.00000000","0.00000000","0","0","0.00000000","0.00000000","0.00000000","Unknown","0.00277777777777778","0.0025","0.0166666666666667"
