"Date","Pool","Currency","Wallet","DailyEarnings","StartTime","StartValue","EndTime","EndValue","Balance","Pending","Unpaid","Payout"
"2023-09-04","ProHashing","XMR","UselessGuru","0","14:36:48","2.563445299E-07","15:28:19","2.563445299E-07","2.563445299E-07","0","2.563445299E-07","0"
"2023-09-04","ZergPool","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","14:36:48","0.00062133","15:28:19","0.00062133","0.00062122","1.1072856388002E-07","0.00062133","0"
"2023-09-04","Zpool","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","0","14:36:48","2.791E-05","15:28:19","2.791E-05","2.791E-05","2.3142121038075E-09","2.791E-05","0"
"2023-09-05","HashCryptos","BTC","1GPSq8txFnyrYdXL8t6S94mYdF8cGqVQJF","1.0000000000000116E-08","20:30:55","1.86E-06","23:54:37","1.8800000000000002E-06","1.67E-06","2E-07","1.87E-06","0"
"2023-09-05","HiveON","ETC","7cf99ec9029a98afd385f106a93977d8105fec0f","0","20:30:55","0.015402569","23:54:37","0.015402569","0.015402569","0","0.015402569","0"
"2023-09-05","MiningDutch","AEON","UselessGuru","0","20:30:55","0.00170007","23:54:37","0.00170007","0.00170007","0","0.00170007","0"
"2023-09-05","MiningDutch","BELL","UselessGuru","0","20:30:55","0.43648422","23:54:37","0.43648422","0.43648422","0","0.43648422","0"
"2023-09-05","MiningDutch","BTC","UselessGuru","0","20:30:55","4.699E-05","23:54:37","4.699E-05","4.699E-05","0","4.699E-05","0"
"2023-09-05","MiningDutch","CCC","UselessGuru","0","20:30:55","4.313485","23:54:37","4.313485","4.313485","0","4.313485","0"
"2023-09-05","MiningDutch","CLORE","UselessGuru","0","20:30:55","0.01281439","23:54:37","0.01281439","0.01281439","0","0.01281439","0"
"2023-09-05","MiningDutch","DMS","UselessGuru","0","20:30:55","0.09630923","23:54:37","0.09630923","0.09630923","0","0.09630923","0"
"2023-09-05","MiningDutch","FTC","UselessGuru","0","20:30:55","0.84452926","23:54:37","0.84452926","0.84452926","0","0.84452926","0"
"2023-09-05","MiningDutch","GUN","UselessGuru","0","20:30:55","10.8156864","23:54:37","10.8156864","10.8156864","0","10.8156864","0"
"2023-09-05","MiningDutch","IQ","UselessGuru","0","20:30:55","2.58782551","23:54:37","2.58782551","2.58782551","0","2.58782551","0"
"2023-09-05","MiningDutch","NEOX","UselessGuru","0","20:30:55","0.57254822","23:54:37","0.57254822","0.57254822","0","0.57254822","0"
"2023-09-05","MiningDutch","NYX","UselessGuru","0","20:30:55","0.09979641","23:54:37","0.09979641","0.09979641","0","0.09979641","0"
"2023-09-05","MiningDutch","PAPRY","UselessGuru","0","20:30:55","0.22477687","23:54:37","0.22477687","0.22477687","0","0.22477687","0"
"2023-09-05","MiningDutch","UFO","UselessGuru","0","20:30:55","0.20887727","23:54:37","0.20887727","0.20887727","0","0.20887727","0"
"2023-09-05","MiningDutch","VHH","UselessGuru","0","20:30:55","6317.71316063","23:54:37","6317.71316063","6317.71316063","0","6317.71316063","0"
"2023-09-05","MiningDutch","VTC","UselessGuru","0","20:30:55","0.08558942","23:54:37","0.08558942","0.08558942","0","0.08558942","0"
"2023-09-05","MiningDutch","YEC","UselessGuru","0","20:30:55","0.10712654","23:54:37","0.10712654","0.10712654","0","0.10712654","0"
"2023-09-05","MiningDutch","YTN","UselessGuru","0","20:30:55","0.47039829","23:54:37","0.47039829","0.47039829","0","0.47039829","0"
"2023-09-05","MiningDutch","ZCL","UselessGuru","0","20:30:55","0.02185477","23:54:37","0.02185477","0.02185477","0","0.02185477","0"
"2023-09-05","MiningPoolHub","BTG","UselessGuru","0","20:30:55","0.03556108","20:40:59","0.03556108","0.03556108","0","0.03556108","0"
"2023-09-05","MiningPoolHub","DASH","UselessGuru","0","20:30:55","1.13E-06","20:40:59","1.13E-06","1.13E-06","0","1.13E-06","0"
"2023-09-05","MiningPoolHub","DGB","UselessGuru","0","20:30:55","0.00231606","20:40:59","0.00231606","0.00231606","0","0.00231606","0"
"2023-09-05","MiningPoolHub","ESN","UselessGuru","0","20:30:55","5.43515484","20:40:59","5.43515484","5.43515484","0","5.43515484","0"
"2023-09-05","MiningPoolHub","ETC","UselessGuru","0","20:30:55","0.00148145","20:40:59","0.00148145","0.00148145","0","0.00148145","0"
"2023-09-05","MiningPoolHub","ETH","UselessGuru","0","20:30:55","0.06968613","20:40:59","0.06968613","0.06968613","0","0.06968613","0"
"2023-09-05","MiningPoolHub","EXP","UselessGuru","0","20:30:55","30.58222757","20:40:59","30.58222757","30.58222757","0","30.58222757","0"
"2023-09-05","MiningPoolHub","FTC","UselessGuru","0","20:30:55","54.30965879","20:40:59","54.30965879","54.30965879","0","54.30965879","0"
"2023-09-05","MiningPoolHub","GRS","UselessGuru","0","20:30:55","2.532E-05","20:40:59","2.532E-05","2.532E-05","0","2.532E-05","0"
